Title,
Revision,
Date,
Generated,Fri 28 Sep 2018 04:29:53 PM EDT
Company,
Comment 1,
Comment 2,
Comment 3,
Comment 4,
Total Parts,97
Total Unique Parts,39



Ref,Qty,Value,Footprint,Datasheet,Category,DK_Datasheet_Link,DK_Detail_Page,Description,Digi-Key_PN,Family,Field4,MPN,Manufacturer,inductance,
BAT1 ,1,BS-7_2032,USER_CONNECTORS:BS-7_USER,http://www.memoryprotectiondevices.com/datasheets/BS-7-datasheet.pdf,Battery Products,http://www.memoryprotectiondevices.com/datasheets/BS-7-datasheet.pdf,/product-detail/en/mpd-memory-protection-devices/BS-7/BS-7-ND/389447,HOLDER COINCELL 2032 RETAINRCLIP,BS-7-ND,Battery Holders  Clips  Contacts, ,BS-7,MPD (Memory Protection Devices), 
C1 C2 ,2,0.1uF,Capacitors_SMD:C_0805_HandSoldering,, , , , , , , , , , 
C3 C4 C5 C6 ,4,5ZLH100MEFC6.3X11,Capacitors_ThroughHole:C_Radial_D6.3_L11.2_P2.5,, , , , , , ,100uF 35V, , , 
C7 ,1,12.5pF NP0,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,, , , , , , , , , , 
C8 C11 C12 ,3,0.1uF,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,, , , , , , , , , , 
C9 C10 C14 C15 C16 C17 C18 ,7,4.7uF,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,, , , , , , , , , , 
C13 ,1,10nF,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,, , , , , , , , , , 
CON1 ,1,PJ-202A,Connect:BARREL_JACK,, , , , , , , , , , 
D1 D6 ,2,1N4448W-TP,Diodes_SMD:SOD-123,, , , , , , , , , , 
D2 D3 D4 D5 ,4,S1GTR,Diodes_SMD:SMA_Handsoldering,, , , , , , , , , , 
D7 ,1,STPS160A,Diode_SMD:D_SMA_Handsoldering,http://www.st.com/content/ccc/resource/technical/document/datasheet/93/c1/06/0c/63/7c/41/d5/CD00001023.pdf/files/CD00001023.pdf/jcr:content/translations/en.CD00001023.pdf, , , , , , , , , , 
D8 D9 D11 D13 D14 D17 D18 D19 D20 D21 ,10,GN,LEDs:LED_0805,, , , , , , , , , , 
J1 J2 ,2,282836-6,USER_CONNECTORS:282836-6,, , , , , , , , , , 
J3 ,1,RJHSE-5080,USER_CONNECTORS:RJHSE-5080,, , , , , , , , , , 
J4 J5 ,2,SJ-3523-SMT-TR,USER_CONNECTORS:SJ-3523-SMT-TR,, , , , , , , , , , 
JP1 ,1,Jumper_NO_Small,Pin_Headers:Pin_Header_Straight_1x02,, , , , , , , , , , 
L1 ,1,SRN6045-101,USER_INDUCTORS:SRN6045,FIXED IND 100UH 700MA 494 MOHM, , , , , , , , , ,100uH
P3 P6 P7 P8 ,4,MTG,Mounting_Holes:MountingHole_2-7mm,, , , , , , , , , , 
P9 ,1,0731000105,USER_CONNECTORS:0731000105,, , , , , , , , , , 
Q1 ,1,DMN65D8L-7,TO_SOT_Packages_SMD:SOT-23_Handsoldering,, , , , , , , , , , 
Q5 Q6 Q7 Q8 Q9 ,5,PSMN022-30PL,127,TO_SOT_Packages_THT:TO-220_Neutral123_Horizontal_LargePads,, , , , , , , , , , 
R1 R12 ,2,0,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,, , , , , , , , , , 
R2 R13 R18 ,3,DNP,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,, , , , , , , , , , 
R3 R7 R8 R9 R10 R11 R14 R15 R16 R20 R22 ,11,10.0k,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,, , , , , , , , , , 
R4 R5 R27 ,3,1.0k,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,, , , , , , , , , , 
R6 ,1,4.7k,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,, , , , , , , , , , 
R17 ,1,10.0k 0.1%,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,, , , , , , , , , , 
R19 R23 R24 ,3,49.9k,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,, , , , , , , , , , 
R21 ,1,9.53k,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,, , , , , , , , , , 
R26 R29 R35 R36 R37 R38 R39 ,7,500,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,, , , , , , , , , , 
R31 R32 ,2,200,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,, , , , , , , , , , 
REF1 ,1,LT1004CZ-2.5,TO_SOT_Packages_THT:TO-92_Inline_Wide,, , , , , , , , , , 
SHIELD1 ,1,ARDUINO_SHIELD_R3_WI2C,ARDUINO_SHIELDS:ARDUINO_SHIELD_R3_WI2C,, , , , , , , , , , 
U1 ,1,LMC6482IN,Housings_DIP:DIP-8_W7.62mm,, , , , , , , , , , 
U2 ,1,PCF8563T,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://www.nxp.com/documents/data_sheet/PCF8563.pdf, , , , , , , , , , 
U3 ,1,AZ1117CH-3_3TRG1,digikey-footprints:SOT-223,https://www.diodes.com/assets/Datasheets/AZ1117C.pdf,Integrated Circuits (ICs),https://www.diodes.com/assets/Datasheets/AZ1117C.pdf,/product-detail/en/diodes-incorporated/AZ1117CH-3.3TRG1/AZ1117CH-3.3TRG1DICT-ND/4505206,IC REG LIN POS ADJ 800MA SOT223,AZ1117CH-3.3TRG1DICT-ND,PMIC - Voltage Regulators - Linear, ,AZ1117CH-3.3TRG1,Diodes Incorporated, 
U4 ,1,AOZ1280CI,Package_TO_SOT_SMD:SOT-23-6_Handsoldering,, , , , , , , , , , 
U5 ,1,ESP32_devkitc,USER_MODULES:ESP32_DEVKITC,, , , , , , , , , , 
Y1 ,1,CFS-20632768DZFB,Crystals:Crystal_Round_Horizontal_2mm,, , , , , , , , , , 




BOM made with KICAD_BOM_WIZARD (https://github.com/HashDefineElectronics/KiCad_BOM_Wizard.git)
Generated Fri 28 Sep 2018 04:29:53 PM EDT
